Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_RegressionTest,Chrome 111.0.0.0,,,2023-03-12 15:39:45,2023-03-12 15:40:45,59.520s,FAILED
,,,,,,,
Test Cases/TC03_Dropdown,Chrome 111.0.0.0,,,2023-03-12 15:39:45,2023-03-12 15:39:55,9.873s,PASSED
"openBrowser("""")",Chrome 111.0.0.0,,,2023-03-12 15:39:46,2023-03-12 15:39:48,2.245s,PASSED
"navigateToUrl(""https://the-internet.herokuapp.com/"")",Chrome 111.0.0.0,,,2023-03-12 15:39:48,2023-03-12 15:39:52,3.605s,PASSED
"click(findTestObject(""Object Repository/Page_Dropdown/a_Dropdown""))",Chrome 111.0.0.0,,,2023-03-12 15:39:52,2023-03-12 15:39:52,0.774s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Dropdown/select_Please select an option    Option 1 _a93200""), ""1"", true)",Chrome 111.0.0.0,,,2023-03-12 15:39:52,2023-03-12 15:39:54,1.175s,PASSED
"verifyOptionSelectedByLabel(findTestObject(""Page_Dropdown/select_Please select an option    Option 1 _a93200""), ""Option 1"", false, G_ShortTimeOut)",Chrome 111.0.0.0,,,2023-03-12 15:39:54,2023-03-12 15:39:55,1.653s,PASSED
closeBrowser(),Chrome 111.0.0.0,,,2023-03-12 15:39:55,2023-03-12 15:39:55,0.161s,PASSED
,,,,,,,
Test Cases/TC02_FormAuthInvalid,Chrome 111.0.0.0,,,2023-03-12 15:39:55,2023-03-12 15:40:04,8.705s,PASSED
"openBrowser("""")",Chrome 111.0.0.0,,,2023-03-12 15:39:56,2023-03-12 15:39:57,1.259s,PASSED
"navigateToUrl(""https://the-internet.herokuapp.com/"")",Chrome 111.0.0.0,,,2023-03-12 15:39:57,2023-03-12 15:40:00,2.967s,PASSED
"click(findTestObject(""Page_Form/a_Form Authentication""))",Chrome 111.0.0.0,,,2023-03-12 15:40:00,2023-03-12 15:40:01,1.343s,PASSED
